,x1,x2,x3,x4,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101
model49,0.75,125,385,120,7.7735,241.66,14.492,201.379,3.7215,2.8998,9.2657,-1.4485,1.586,1.5518,5.3157,0.0042,413.6,407.44,36711,2691.081,44.177,4.1241,0.0001,0.0663,-0.0231,0.0234,-0.0242,0.0236,-0.052,0.0644,3.0905,3.0655,3.0312,3.0948,31.8903,31.8889,31.8874,31.8877,9.5947,9.5929,9.5936,9.5942,7.4645,7.461,7.4644,7.4636,6.8203,6.8191,6.8197,6.8195,4.6152,0.001,4.6142,0.0009,4.6147,0.0011,4.6144,0.0011,4.6148,0.0009,4.6145,0.0009,4.614,0.0011,4.6136,0.001,4.3902,0.0023,4.3931,0.0017,4.3911,0.0024,4.3911,0.0027,4.3847,0.0007,4.3885,0.0012,4.384,0.001,4.3825,0.0009,4.4051,0.0034,4.4112,0.0035,4.4074,0.004,4.4041,0.0034,4.3881,0.0014,4.3904,0.0016,4.3876,0.0013,4.3866,0.0013,0.0064,0.005,0.0059,0.0061,0.0044,0.0054,0.0054,0.0054
model50,0.5,135,375,90,7.7544,219.65,12.384,219.652,3.7002,2.8888,9.8512,-0.8063,2.0405,1.5614,5.4891,0.0055,415.98,405.81,43348,3543.226,48.287,4.1185,0.0002,0.0833,-0.0316,0.0312,-0.0334,0.0331,-0.0697,0.0815,2.9058,2.9158,2.8826,2.9155,31.8541,31.8551,31.8538,31.854,9.5818,9.5801,9.5809,9.5806,7.4594,7.4562,7.4595,7.4597,6.8178,6.8158,6.8172,6.8177,4.6143,0.0011,4.6121,0.0009,4.6137,0.0012,4.6147,0.0011,4.6143,0.0009,4.6131,0.0009,4.6133,0.0011,4.6136,0.0011,4.3997,0.0036,4.4039,0.0028,4.3998,0.0033,4.402,0.0035,4.377,0.001,4.3813,0.0015,4.3813,0.0015,4.3814,0.0012,4.4094,0.0039,4.4141,0.0037,4.4119,0.0047,4.4113,0.004,4.3767,0.0012,4.3772,0.0012,4.3772,0.001,4.3762,0.0011,0.0088,0.0068,0.0086,0.0084,0.003,0.0026,0.0033,0.0029
model51,0.5,150,375,80,8.4765,213.41,11.049,213.409,3.6881,2.8738,9.6956,-0.3491,2.4244,1.6349,5.5169,0.006,414.27,404.54,42297,3332.816,54.252,4.6218,0.0004,0.0941,-0.0357,0.0347,-0.0363,0.0357,-0.079,0.0921,3.163,3.1516,3.1212,3.1611,31.8327,31.8348,31.8324,31.8326,9.5756,9.5745,9.5746,9.5747,7.4552,7.4518,7.4553,7.4552,6.8131,6.8109,6.8132,6.8131,4.6096,0.001,4.6069,0.0008,4.6098,0.001,4.6095,0.001,4.6092,0.0008,4.6075,0.0009,4.6099,0.0009,4.6097,0.0009,4.4001,0.0037,4.4034,0.0031,4.3999,0.0035,4.4012,0.0035,4.3685,0.0007,4.3706,0.001,4.3731,0.0011,4.3726,0.001,4.4068,0.0039,4.4104,0.0036,4.4091,0.0046,4.4078,0.0039,4.371,0.001,4.3708,0.001,4.3713,0.0009,4.3702,0.0009,0.0087,0.0069,0.0086,0.0084,0.0028,0.0021,0.0026,0.0023
model52,0.25,135,385,90,7.734,208.39,12.697,200.665,3.705,2.8776,9.9387,-0.7459,2.1458,1.7885,5.4813,0.0051,424.67,414.9,79447,5727.554,49.523,4.045,0.0001,0.0756,-0.0297,0.0292,-0.0294,0.0296,-0.065,0.0747,2.7728,2.7586,2.7479,2.774,31.8645,31.8664,31.8645,31.8644,9.5861,9.5834,9.5851,9.5851,7.4617,7.4594,7.4621,7.462,6.822,6.8195,6.8227,6.8224,4.6169,0.0013,4.6136,0.001,4.6168,0.0013,4.6163,0.0012,4.6159,0.001,4.6142,0.001,4.6177,0.0011,4.6172,0.0011,4.4041,0.004,4.4132,0.0034,4.4058,0.0039,4.4074,0.0041,4.3714,0.0006,4.3713,0.0009,4.3733,0.001,4.3735,0.0009,4.4089,0.004,4.4144,0.0039,4.4119,0.0048,4.4104,0.004,4.3761,0.0011,4.3759,0.0011,4.376,0.001,4.375,0.001,0.0095,0.007,0.009,0.0088,0.003,0.0019,0.0026,0.0024
model53,0.5,165,395,90,10.0073,157.07,10.248,157.068,3.684,2.8464,10.4526,-0.0223,2.9338,2.0504,5.5262,0.006,424.09,417.6,40833,3040.097,68.817,5.6796,0.0004,0.0961,-0.0364,0.0355,-0.0365,0.0358,-0.0819,0.0944,3.5816,3.5752,3.5441,3.5745,31.8265,31.829,31.8266,31.8269,9.5737,9.5727,9.5729,9.573,7.4537,7.4506,7.4538,7.4538,6.8118,6.8095,6.8115,6.8116,4.6076,0.0008,4.6047,0.0006,4.6064,0.001,4.6067,0.0009,4.6069,0.0008,4.6048,0.0007,4.607,0.0008,4.6068,0.0008,4.4003,0.0037,4.4051,0.0032,4.4002,0.0035,4.4015,0.0035,4.3652,0.0006,4.3656,0.0008,4.3691,0.0009,4.369,0.0007,4.4053,0.0039,4.4091,0.0037,4.4073,0.0045,4.4059,0.0039,4.3693,0.0009,4.3689,0.001,4.3692,0.0007,4.3681,0.0008,0.0081,0.0063,0.0082,0.0077,0.0024,0.0017,0.0025,0.0021
model54,0.5,150,375,90,8.6098,213.41,12.28,213.409,3.6997,2.8792,9.9624,-0.6354,2.2331,1.707,5.5082,0.0052,414.27,404.83,42297,3348.529,54.617,4.6722,0.0002,0.0821,-0.0317,0.0307,-0.033,0.0326,-0.0701,0.0802,3.1436,3.1375,3.1017,3.1413,31.8537,31.8557,31.8534,31.8538,9.5819,9.5805,9.581,9.5811,7.4593,7.4562,7.4595,7.4595,6.8167,6.8139,6.8165,6.8164,4.6121,0.001,4.6084,0.0008,4.6116,0.0011,4.6114,0.001,4.6116,0.0009,4.6094,0.0009,4.6118,0.0009,4.6114,0.0009,4.4014,0.0037,4.4055,0.003,4.4011,0.0035,4.4027,0.0035,4.371,0.0007,4.3732,0.001,4.3755,0.0011,4.3751,0.0009,4.4075,0.0039,4.412,0.0036,4.4102,0.0046,4.4089,0.0039,4.3733,0.001,4.3733,0.001,4.3738,0.0008,4.3727,0.0009,0.0084,0.0064,0.0082,0.008,0.0027,0.0024,0.0027,0.0023
model55,0.75,135,385,100,8.0428,195.19,12.369,195.191,3.7028,2.8884,9.6585,-0.8413,2.0138,1.5818,5.4843,0.0053,412.82,406.99,35795,2519.827,48.238,4.3708,0.0002,0.0832,-0.0294,0.0302,-0.0319,0.0317,-0.0675,0.081,3.1934,3.1895,3.1603,3.195,31.8577,31.8562,31.8565,31.8562,9.5825,9.581,9.5825,9.5827,7.4596,7.4555,7.4591,7.4588,6.8159,6.8141,6.815,6.8147,4.6122,0.001,4.6103,0.0008,4.6113,0.0011,4.611,0.001,4.6119,0.0009,4.6107,0.0009,4.6105,0.001,4.6101,0.001,4.3961,0.0029,4.3979,0.0023,4.3944,0.0029,4.3954,0.0031,4.3822,0.001,4.3863,0.0014,4.3832,0.0013,4.3816,0.001,4.409,0.0037,4.4131,0.0037,4.4097,0.0044,4.4075,0.0037,4.3817,0.0013,4.3838,0.0015,4.3827,0.0013,4.381,0.0012,0.0075,0.0064,0.0076,0.0075,0.0036,0.0042,0.0046,0.0043
model56,0.25,150,385,90,8.6107,206.72,12.645,199.068,3.7039,2.8657,10.0757,-0.6238,2.3664,1.9563,5.4911,0.0049,425.65,414.54,78782,5533.381,55.825,4.6126,0.0003,0.0754,-0.0297,0.0292,-0.029,0.0292,-0.0656,0.0741,2.994,2.9716,2.9454,2.9883,31.8634,31.8654,31.8634,31.8635,9.5858,9.5831,9.5848,9.5848,7.4613,7.459,7.4617,7.4616,6.8199,6.8176,6.8205,6.8202,4.6128,0.0012,4.6107,0.0008,4.6131,0.0012,4.6126,0.0011,4.6126,0.001,4.6109,0.0009,4.614,0.001,4.6133,0.001,4.4037,0.0039,4.4123,0.0033,4.4055,0.0039,4.4072,0.004,4.3685,0.0005,4.3683,0.0009,4.3701,0.0008,4.3702,0.0007,4.4073,0.0039,4.413,0.0038,4.41,0.0047,4.4084,0.0039,4.3737,0.0009,4.3734,0.0009,4.3738,0.0008,4.3726,0.0009,0.0091,0.0065,0.0086,0.0083,0.0028,0.0019,0.0023,0.0021
model57,0.25,135,395,120,8.1552,220.97,15.516,184.144,3.7323,2.8735,9.8681,-1.3558,1.8204,2.0736,5.0644,0.0032,429.09,421.66,71835,5502.527,49.777,4.2513,0.0008,0.0464,-0.0198,0.0197,-0.0208,0.0211,-0.0431,0.0454,2.7834,2.7751,2.7599,2.7817,31.9156,31.9173,31.9158,31.9157,9.6024,9.5993,9.6015,9.6013,7.4703,7.4685,7.4707,7.4706,6.8282,6.8259,6.8286,6.8287,4.6184,0.0012,4.6167,0.0009,4.6182,0.0013,4.6182,0.0012,4.6179,0.0011,4.6163,0.001,4.6192,0.0012,4.6187,0.0011,4.4033,0.0036,4.413,0.0029,4.4044,0.0036,4.4066,0.0038,4.3768,0.0005,4.377,0.001,4.3789,0.001,4.3793,0.0008,4.4061,0.0036,4.4137,0.0036,4.4098,0.0045,4.4081,0.0038,4.3813,0.001,4.3815,0.0011,4.3819,0.0009,4.3808,0.0009,0.008,0.0049,0.0073,0.0072,0.0026,0.0027,0.0025,0.0024
model58,0.5,150,375,120,8.8713,256.09,15.203,213.409,3.7249,2.8886,9.2066,-1.363,1.7265,1.6998,5.3796,0.0033,414.27,404.38,42297,3359.662,52.899,4.7808,0.0003,0.0561,-0.0223,0.0218,-0.0241,0.0238,-0.0494,0.0545,3.1054,3.087,3.0885,3.0981,31.9005,31.9016,31.8998,31.9004,9.5978,9.5957,9.5967,9.5968,7.467,7.4644,7.4672,7.4672,6.822,6.8195,6.8218,6.8218,4.6134,0.0009,4.6111,0.0007,4.6126,0.0011,4.6126,0.001,4.6124,0.001,4.6108,0.001,4.6129,0.001,4.6123,0.001,4.3992,0.0032,4.4048,0.0025,4.3991,0.0032,4.401,0.0032,4.3749,0.0005,4.3766,0.001,4.3792,0.0011,4.3788,0.0008,4.4034,0.0034,4.4097,0.0032,4.4069,0.0042,4.405,0.0035,4.3775,0.0009,4.3777,0.001,4.3784,0.0008,4.3773,0.0008,0.0069,0.0045,0.0067,0.0064,0.0024,0.0032,0.0029,0.0026
model59,0.5,125,395,100,7.5142,171.8,11.892,171.799,3.701,2.882,10.0985,-0.7445,2.1135,1.7116,5.4854,0.0058,425.0,417.98,43826,3393.154,46.897,3.9589,0.0002,0.083,-0.0317,0.0317,-0.0338,0.0332,-0.0696,0.0811,2.9257,2.9333,2.8982,2.9305,31.8553,31.8558,31.8548,31.8549,9.5822,9.5802,9.5812,9.5809,7.4593,7.4563,7.4593,7.4593,6.8192,6.8171,6.8189,6.819,4.616,0.0011,4.6136,0.0009,4.6158,0.0012,4.6156,0.0012,4.6155,0.001,4.6142,0.0009,4.6151,0.0011,4.6153,0.0011,4.3991,0.0035,4.4035,0.0027,4.3991,0.0034,4.401,0.0035,4.3803,0.0012,4.3847,0.0016,4.3832,0.0015,4.3838,0.0012,4.41,0.004,4.4155,0.0039,4.4121,0.0048,4.4115,0.0041,4.3796,0.0013,4.381,0.0014,4.3798,0.0012,4.379,0.0012,0.009,0.0071,0.0089,0.0088,0.0033,0.0032,0.0038,0.0035
model60,0.75,125,375,120,7.722,281.59,15.495,234.658,3.7263,2.9052,8.6531,-1.8424,1.4338,1.4662,5.1953,0.0038,408.84,401.85,37014,2730.935,42.528,4.0763,0.0002,0.0614,-0.0208,0.0215,-0.0236,0.0214,-0.048,0.0595,3.0403,3.0053,2.9864,3.0498,31.899,31.8966,31.8957,31.8964,9.5978,9.5957,9.5967,9.5973,7.4661,7.4623,7.466,7.4653,6.8213,6.82,6.8209,6.8207,4.6152,0.001,4.6147,0.0008,4.6154,0.0011,4.6151,0.001,4.6154,0.0009,4.615,0.0009,4.6148,0.0011,4.6142,0.001,4.39,0.0022,4.3927,0.0017,4.3908,0.0024,4.3911,0.0027,4.3844,0.0005,4.3877,0.0012,4.3839,0.001,4.3823,0.001,4.4045,0.0033,4.4106,0.0034,4.4069,0.0039,4.4036,0.0033,4.3889,0.0014,4.3904,0.0016,4.3884,0.0012,4.3875,0.0012,0.006,0.0049,0.0057,0.0059,0.0043,0.0054,0.0055,0.0054
model61,0.25,150,395,100,8.8632,181.55,13.19,181.551,3.7116,2.8568,10.0404,-0.7081,2.3764,2.1431,5.4535,0.0043,429.11,421.76,71859,5396.694,56.825,4.7624,0.0003,0.0672,-0.0269,0.0266,-0.0268,0.0269,-0.0597,0.066,3.0722,3.0612,3.0196,3.0692,31.8777,31.8798,31.8778,31.878,9.5903,9.5877,9.5893,9.5895,7.4637,7.4615,7.4641,7.464,6.8222,6.8198,6.8226,6.8225,4.6144,0.0011,4.612,0.0008,4.6139,0.0012,4.6136,0.0011,4.6137,0.0011,4.6117,0.0009,4.6149,0.0011,4.6143,0.001,4.4032,0.0037,4.4118,0.0032,4.4047,0.0038,4.4062,0.0039,4.3708,0.0005,4.3708,0.0009,4.3726,0.0009,4.3729,0.0007,4.4067,0.0038,4.4128,0.0037,4.4099,0.0046,4.4079,0.0038,4.376,0.001,4.3759,0.001,4.3762,0.0008,4.3749,0.0009,0.0086,0.006,0.0081,0.0077,0.0027,0.0022,0.0023,0.002
model62,0.25,125,395,90,7.3826,185.08,11.998,185.083,3.7013,2.8746,10.3086,-0.7134,2.2268,1.8698,5.4846,0.0056,429.19,421.51,72286,5579.17,47.411,3.8078,0.0002,0.0802,-0.0313,0.0309,-0.031,0.0309,-0.0684,0.0793,2.7409,2.7418,2.7146,2.743,31.8568,31.8588,31.8571,31.857,9.5839,9.5815,9.583,9.5829,7.46,7.4576,7.4604,7.4603,6.8221,6.8196,6.8223,6.8222,4.6182,0.0013,4.6159,0.001,4.6178,0.0014,4.6175,0.0013,4.6182,0.001,4.6156,0.001,4.6187,0.0012,4.6187,0.0011,4.4026,0.004,4.4116,0.0034,4.4041,0.0039,4.4055,0.004,4.3728,0.0008,4.3729,0.0011,4.3754,0.0011,4.3758,0.0011,4.4087,0.0041,4.4139,0.0039,4.4117,0.0048,4.4106,0.0041,4.3774,0.0013,4.3774,0.0012,4.3774,0.0011,4.3766,0.0011,0.0096,0.0073,0.0094,0.0091,0.0031,0.002,0.0028,0.0025
model63,0.75,135,395,80,8.1656,164.76,9.0198,164.758,3.6734,2.8731,10.724,-0.0558,2.6751,1.7379,5.5088,0.0106,420.04,413.34,35713,2464.089,51.215,4.3209,0.0011,0.1123,-0.0384,0.0387,-0.0407,0.0399,-0.0884,0.11,3.3066,3.3116,3.2722,3.3088,31.8061,31.8058,31.8054,31.8051,9.5672,9.5664,9.567,9.567,7.4484,7.4444,7.4482,7.4479,6.8091,6.8081,6.8083,6.8082,4.6099,0.0009,4.6086,0.0008,4.6096,0.001,4.6092,0.001,4.6102,0.0008,4.6091,0.0008,4.6082,0.0009,4.6083,0.001,4.3916,0.0028,4.3928,0.0025,4.391,0.0029,4.3915,0.003,4.3749,0.0011,4.3793,0.0014,4.3765,0.0013,4.3757,0.001,4.4056,0.0038,4.4085,0.0037,4.4058,0.0042,4.4045,0.0037,4.3756,0.0014,4.3775,0.0014,4.3759,0.0014,4.3746,0.0013,0.0082,0.0072,0.0083,0.0082,0.0036,0.0038,0.0043,0.0039
model64,0.75,125,395,100,7.6308,169.91,11.36,169.906,3.6956,2.8849,10.0159,-0.6974,2.1307,1.613,5.4851,0.0061,419.0,413.72,37251,2596.3,46.655,4.0915,0.0004,0.0919,-0.0322,0.0329,-0.0339,0.0332,-0.0726,0.0899,3.1471,3.1335,3.0938,3.1521,31.8441,31.8431,31.8422,31.8419,9.5786,9.5774,9.5779,9.5785,7.4565,7.4528,7.4562,7.4554,6.8153,6.8145,6.8142,6.8143,4.6132,0.001,4.613,0.0008,4.6132,0.0011,4.6131,0.001,4.614,0.0009,4.6135,0.0009,4.6111,0.001,4.6122,0.001,4.3933,0.0026,4.3949,0.0022,4.3931,0.0028,4.3927,0.003,4.3798,0.0008,4.3848,0.0013,4.3797,0.0012,4.3781,0.0009,4.4092,0.0039,4.4137,0.0038,4.4098,0.0044,4.407,0.0038,4.3834,0.0015,4.3856,0.0016,4.3826,0.0013,4.3812,0.0013,0.0081,0.0069,0.0076,0.008,0.0043,0.0045,0.0048,0.0046
model65,0.75,150,375,120,9.031,263.4,14.941,219.504,3.7232,2.8909,8.9719,-1.3907,1.6959,1.5921,5.3782,0.0034,408.86,401.05,33599,2530.254,52.092,4.958,0.0002,0.0606,-0.0223,0.0224,-0.0255,0.0257,-0.0509,0.0586,3.3617,3.3473,3.3218,3.3636,31.8955,31.8953,31.8946,31.8957,9.5956,9.5932,9.5952,9.5953,7.4658,7.4629,7.4658,7.4657,6.8182,6.8169,6.8176,6.8175,4.6102,0.0009,4.6094,0.0007,4.6089,0.001,4.6093,0.0009,4.6092,0.0009,4.6094,0.0008,4.6086,0.001,4.6079,0.0009,4.3972,0.0028,4.4015,0.0022,4.3962,0.0029,4.398,0.003,4.3816,0.001,4.386,0.0014,4.3836,0.0013,4.3833,0.0009,4.4036,0.0033,4.4104,0.0034,4.4063,0.0041,4.4042,0.0034,4.3792,0.0009,4.3806,0.0012,4.3798,0.0008,4.3788,0.0008,0.0061,0.0045,0.0062,0.006,0.0027,0.0037,0.0037,0.0036
model66,0.75,125,385,100,7.6198,201.38,12.527,201.379,3.7042,2.8944,9.5687,-0.9911,1.9139,1.5458,5.4669,0.0054,413.61,407.42,36711,2610.205,45.054,4.0639,0.0001,0.0839,-0.0291,0.0299,-0.0301,0.0294,-0.0659,0.0819,3.0944,3.0801,3.0448,3.1078,31.8588,31.8576,31.8564,31.8564,9.5842,9.583,9.5833,9.5837,7.4591,7.4551,7.4588,7.4581,6.816,6.8152,6.8154,6.8152,4.6125,0.001,4.6125,0.0008,4.6131,0.0011,4.6128,0.001,4.6134,0.0009,4.6131,0.0009,4.6121,0.0011,4.6118,0.001,4.3908,0.0024,4.3922,0.0018,4.3914,0.0026,4.3914,0.0028,4.3813,0.0007,4.3849,0.0012,4.3806,0.0011,4.379,0.0008,4.4074,0.0036,4.4116,0.0036,4.4085,0.0042,4.4059,0.0036,4.3851,0.0015,4.3867,0.0016,4.3836,0.0013,4.3829,0.0013,0.0074,0.0063,0.0068,0.0073,0.0043,0.0047,0.0048,0.0047
model67,0.25,125,375,80,7.0446,243.54,11.459,211.94,3.692,2.8885,9.7786,-0.6006,2.1508,1.5444,5.4942,0.0061,421.51,408.76,103290,6158.554,45.797,3.5908,0.0006,0.0901,-0.0339,0.0332,-0.0331,0.0334,-0.0744,0.0891,2.6069,2.6053,2.588,2.6094,31.8401,31.842,31.8402,31.8402,9.5785,9.576,9.5776,9.5776,7.4571,7.4545,7.4574,7.4573,6.8184,6.8161,6.8189,6.8184,4.6164,0.0013,4.6138,0.001,4.6157,0.0013,4.6149,0.0012,4.6148,0.001,4.6136,0.0011,4.6168,0.0011,4.6163,0.0011,4.4032,0.0041,4.4121,0.0035,4.4048,0.0039,4.4062,0.0041,4.3689,0.0008,4.369,0.0011,4.3711,0.0011,4.3713,0.001,4.4087,0.0041,4.4132,0.0039,4.4116,0.0048,4.4101,0.0041,4.3737,0.0013,4.3735,0.0012,4.3737,0.0011,4.3727,0.0011,0.0101,0.0077,0.0096,0.0093,0.0033,0.0021,0.0029,0.0025
model68,0.25,165,375,90,9.712,238.71,13.0,208.865,3.7036,2.8622,9.9024,-0.6079,2.445,1.935,5.4975,0.0045,423.13,408.45,99629,5752.905,65.144,5.3539,0.0003,0.0749,-0.0293,0.029,-0.0288,0.0287,-0.0656,0.0734,3.1845,3.15,3.1439,3.1789,31.8633,31.8646,31.8624,31.8629,9.5856,9.5828,9.5845,9.5846,7.461,7.4584,7.461,7.461,6.8176,6.8158,6.8177,6.8173,4.6095,0.0009,4.6079,0.0007,4.6088,0.001,4.6082,0.0009,4.6088,0.001,4.6075,0.0008,4.6093,0.001,4.6083,0.0009,4.4037,0.0037,4.4113,0.0032,4.4045,0.0039,4.4063,0.004,4.3639,0.0005,4.3636,0.0007,4.365,0.0008,4.3649,0.0007,4.4052,0.0038,4.4109,0.0036,4.4079,0.0045,4.4057,0.0038,4.3698,0.0008,4.3694,0.0008,4.3696,0.0006,4.3685,0.0007,0.0083,0.0058,0.0081,0.0074,0.0026,0.002,0.0022,0.002
model69,0.25,165,375,120,9.9947,250.64,16.014,208.865,3.7314,2.8736,9.536,-1.3441,1.8799,2.0091,5.0719,0.0025,419.82,408.52,99629,5769.994,64.0,5.4968,0.0003,0.0454,-0.0188,0.0188,-0.02,0.0198,-0.0424,0.0445,3.1644,3.0845,3.0792,3.1302,31.9154,31.9163,31.9148,31.9151,9.6028,9.5994,9.6018,9.6017,7.4695,7.4674,7.4696,7.4696,6.8237,6.8221,6.8238,6.8236,4.6116,0.0009,4.6109,0.0007,4.611,0.0009,4.6109,0.0009,4.611,0.0011,4.6104,0.0008,4.6117,0.001,4.6103,0.001,4.4012,0.0033,4.4098,0.0027,4.4017,0.0035,4.4041,0.0036,4.3694,0.0007,4.3695,0.0009,4.3706,0.0008,4.3709,0.0008,4.4011,0.0033,4.4088,0.0032,4.4045,0.0041,4.4023,0.0034,4.375,0.0007,4.3749,0.0008,4.3754,0.0008,4.3743,0.0006,0.0068,0.0038,0.0063,0.0057,0.0024,0.0027,0.0022,0.0022
model70,0.5,165,385,120,10.3068,219.71,14.527,183.091,3.7224,2.867,9.7835,-1.0334,2.1036,2.0439,5.3976,0.0032,417.23,410.17,40227,3129.462,65.849,5.7729,0.0001,0.0557,-0.0224,0.0221,-0.0242,0.0237,-0.0505,0.0549,3.4271,3.4107,3.3972,3.4133,31.8981,31.9002,31.8977,31.8983,9.5968,9.5947,9.5956,9.5957,7.4663,7.464,7.4666,7.4666,6.8211,6.8187,6.8207,6.8207,4.611,0.0008,4.6087,0.0007,4.6097,0.0009,4.6097,0.0009,4.61,0.001,4.6084,0.0008,4.6099,0.001,4.609,0.0009,4.3996,0.0032,4.4067,0.0027,4.4,0.0032,4.4019,0.0033,4.3715,0.0006,4.3719,0.0009,4.375,0.0009,4.3753,0.0007,4.4023,0.0034,4.4089,0.0032,4.4061,0.0042,4.4039,0.0035,4.3752,0.0008,4.3753,0.0009,4.3759,0.0007,4.3748,0.0007,0.0064,0.004,0.0063,0.0059,0.0022,0.003,0.0026,0.0023
model71,0.25,125,375,100,7.1898,243.54,13.891,211.94,3.7111,2.8928,9.5412,-1.1142,1.8358,1.6092,5.4496,0.0048,420.0,409.06,103290,6160.185,44.931,3.6477,0.0002,0.0697,-0.0278,0.0271,-0.0274,0.0279,-0.06,0.0689,2.5471,2.5358,2.5245,2.5493,31.8761,31.8776,31.8761,31.8759,9.5896,9.5865,9.5886,9.5885,7.4642,7.462,7.4646,7.4644,6.8239,6.8214,6.8245,6.8243,4.6188,0.0013,4.6161,0.001,4.6181,0.0014,4.6176,0.0013,4.6171,0.0011,4.6156,0.0011,4.6193,0.0012,4.6189,0.0011,4.4056,0.0041,4.4155,0.0035,4.4071,0.004,4.409,0.0042,4.3729,0.0007,4.373,0.001,4.3751,0.001,4.3751,0.001,4.4099,0.004,4.416,0.0039,4.4134,0.0048,4.4117,0.0041,4.3776,0.0011,4.3775,0.0011,4.3778,0.001,4.3767,0.001,0.0098,0.0071,0.0092,0.009,0.0032,0.0021,0.0027,0.0024
model72,0.75,135,375,120,8.156,274.36,15.103,228.635,3.7232,2.8991,8.8161,-1.5508,1.5602,1.4949,5.3474,0.0037,407.52,401.25,35641,2683.378,45.804,4.3834,0.0002,0.0631,-0.022,0.0225,-0.024,0.0242,-0.0507,0.0609,3.1607,3.1434,3.1137,3.1611,31.8938,31.8926,31.892,31.8928,9.5956,9.594,9.5954,9.5957,7.4654,7.4616,7.4651,7.4649,6.8194,6.8178,6.8191,6.819,4.6133,0.0009,4.6118,0.0008,4.6128,0.0011,4.6126,0.001,4.6126,0.0009,4.612,0.0008,4.6121,0.001,4.6116,0.001,4.3932,0.0025,4.3954,0.0019,4.3919,0.0027,4.3933,0.0029,4.3848,0.0008,4.3884,0.0012,4.3859,0.0013,4.3847,0.0008,4.4046,0.0033,4.4094,0.0033,4.4065,0.004,4.4044,0.0034,4.3842,0.0011,4.3867,0.0014,4.386,0.0012,4.3846,0.0012,0.0061,0.0049,0.0062,0.0061,0.0036,0.0049,0.005,0.0048
model73,0.75,135,395,90,8.0358,164.76,10.155,164.758,3.6849,2.8758,10.4434,-0.3,2.4154,1.6736,5.5035,0.0063,420.38,413.36,35713,2471.662,50.65,4.3678,0.0004,0.1011,-0.0348,0.0353,-0.0379,0.0373,-0.0805,0.0988,3.2987,3.3032,3.2477,3.3017,31.8257,31.8256,31.8247,31.8247,9.5726,9.5714,9.5723,9.5724,7.4529,7.4493,7.4527,7.4524,6.8122,6.8109,6.8114,6.8111,4.6112,0.001,4.6096,0.0008,4.6107,0.0011,4.6102,0.001,4.6111,0.0009,4.6101,0.0008,4.6095,0.001,4.6094,0.001,4.3947,0.0029,4.3969,0.0025,4.3938,0.003,4.3946,0.0032,4.3778,0.0011,4.3829,0.0015,4.3794,0.0013,4.3785,0.001,4.4081,0.0039,4.4123,0.0038,4.4086,0.0044,4.4072,0.0038,4.378,0.0014,4.3804,0.0014,4.3786,0.0013,4.3773,0.0013,0.0082,0.0071,0.0082,0.0081,0.0037,0.0039,0.0044,0.0041
model74,0.5,165,395,120,10.3623,188.48,13.228,157.068,3.7132,2.8518,10.1274,-0.7041,2.4494,2.1868,5.4343,0.0039,422.82,417.11,40833,3093.162,68.089,5.837,0.0001,0.0653,-0.026,0.0255,-0.0275,0.027,-0.0586,0.0645,3.5182,3.5135,3.4966,3.5135,31.8808,31.8829,31.8806,31.881,9.5908,9.5889,9.5898,9.5898,7.4635,7.4611,7.4637,7.4637,6.8191,6.8167,6.8186,6.8187,4.6103,0.0008,4.6081,0.0007,4.6085,0.001,4.609,0.0009,4.6094,0.001,4.6077,0.0008,4.6092,0.001,4.6086,0.0008,4.4008,0.0034,4.4073,0.0028,4.4009,0.0033,4.4027,0.0034,4.3705,0.0006,4.3711,0.0009,4.3743,0.0009,4.3744,0.0006,4.4042,0.0036,4.4103,0.0034,4.4074,0.0043,4.4055,0.0036,4.3744,0.0009,4.3745,0.001,4.3748,0.0007,4.3737,0.0008,0.0069,0.0046,0.0068,0.0065,0.0022,0.0027,0.0025,0.0022
